comment_no,nicname,date,comment
85758,빅마우스,2023-07-06T14:18:00,으미. 바쁜거. 빨리빨리 보자.!
85756,빅마우스,2023-07-06T14:17:00,( 나몇회빼먹음 ) 다시 GOGO. !
85754,애나안,2023-07-06T13:53:00,안보현 🩵
85751,여름밤,2023-07-06T13:53:00,덥다
85749,여름밤,2023-07-06T13:52:00,보현님 강한이미지만 하다가 이번에 다른 연기톤 괞찬던데 머리스탈대로 얼굴도 따로 따로
85748,여름밤,2023-07-06T13:50:00,재방타임도 17:50분에 있고 ㅠㅠ
85747,여름밤,2023-07-06T13:50:00,어제는 그래도 시원하던데 오늘은 무쟈게 덥구나
85745,여름밤,2023-07-06T13:49:00,이방을 어찌할꼬 진짜 망한거야
85744,연빛,2023-07-06T12:20:00,회상씬이너무많아 루즈함 ....
85741,애나안,2023-07-06T12:09:00,1회 물고기 어항씬 지음이 그토록 만나고 싶었던 서하를 다시 만난 장면 18회차와 어린시절과 오버랩 되는 최고의 씬이었어요! 환생이란 소재가 주는 미묘한 감정선 흐믓 몽글 했어요..🩵
85740,다연,2023-07-06T11:47:00,ㅇㅇ
85739,빅마우스,2023-07-06T11:22:00,눙물이 손꾸락에게.  ( 윈.   유 )
85738,빅마우스,2023-07-06T11:09:00,혜선님이 여러분드에개…..Don’t  Cry For Me  Argentina                            …by.    마돈나.
85734,빅마우스,2023-07-06T10:45:00,이프님. 피오나님. 화이팅.  하소덜.  !!!
85733,빅마우스,2023-07-06T10:36:00,( 기냥 아름다운노래 )Goodbye  Yellow  Brick Road .                               ….by.   엘튼죤.   ..
85732,조용한 미소,2023-07-06T10:01:00,너무 오랜만에 설레이고 눈물이나는 작품인듯^^
85731,죽음의 느티나무,2023-07-06T09:34:00,힘들면 계좌보내라 대신 극단적인건 하지말자
85730,죽음의 느티나무,2023-07-06T09:27:00,혼자 미친짓 죄송
85729,죽음의 느티나무,2023-07-06T09:27:00,진짜 웃긴건 그놈의 몹쓸 자전거는 들고 간다나
85727,죽음의 느티나무,2023-07-06T09:26:00,휴대폰 놔두고 화장실가도 최고
85726,죽음의 느티나무,2023-07-06T09:26:00,유트뷰 들가면 오국인들이 신기해 하지
85725,죽음의 느티나무,2023-07-06T09:26:00,대한민국이 좋은 이유
85723,죽음의 느티나무,2023-07-06T09:23:00,쵝오💖
85722,죽음의 느티나무,2023-07-06T09:22:00,우리나라 좋은나라
85720,죽음의 느티나무,2023-07-06T09:22:00,고맙습니다
85719,죽음의 느티나무,2023-07-06T09:22:00,치카치카하고 또 욜씨미 살께요
85718,죽음의 느티나무,2023-07-06T09:22:00,감사해요
85717,죽음의 느티나무,2023-07-06T09:21:00,빅 마우스님 정신 챙길께요
85714,죽음의 느티나무,2023-07-06T09:20:00,착하게 더 살겠습니당
85713,죽음의 느티나무,2023-07-06T09:20:00,감사해요
85712,죽음의 느티나무,2023-07-06T09:20:00,치카치카 하는중
85711,김루나,2023-07-06T09:18:00,꺅
85710,김루나,2023-07-06T09:18:00,이거 이쁘져
85709,아프란시,2023-07-06T09:18:00,이사진으로 마음의 평안을 찾겠습니다.
85708,김루나,2023-07-06T09:18:00,안구정화 타임
85706,빅마우스,2023-07-06T09:17:00,토닥토닥
85704,아프란시,2023-07-06T09:17:00,할만큼 한듯 합니다.
85701,아프란시,2023-07-06T09:17:00,"저정도 열정에 두손두발 다들었습니다.
저정도까지 하는데 저희도 더이상 상대하려면 동등해져야하는데 거기까지는 못하겠어요."
85700,김루나,2023-07-06T09:17:00,안보현 왜 캐스팅함ㅋㅋㅋㅋㅋㅋㅋ 누가 좋아한다고안녕하세요 '누'입니다
85699,빅마우스,2023-07-06T09:16:00,너네팀.   이상햐.    !
85698,죽음의 느티나무,2023-07-06T09:15:00,죄송해요 ㅜㅜ
85697,죽음의 느티나무,2023-07-06T09:15:00,들어가세요
85696,죽음의 느티나무,2023-07-06T09:15:00,아네
85695,빅마우스,2023-07-06T09:15:00,매사  이런식.  찝찝하네.  상대 말아야 겠네
85694,죽음의 느티나무,2023-07-06T09:15:00,빅마우스님 제정신 아닙니다 저좀 챙겨주셔서 고맙습니다ㅜㅜ
85693,죽음의 느티나무,2023-07-06T09:14:00,💖👍
85692,죽음의 느티나무,2023-07-06T09:14:00,고맙습니다
85691,죽음의 느티나무,2023-07-06T09:14:00,감사해요 제 생각 해주신분들도 있고
85690,죽음의 느티나무,2023-07-06T09:13:00,"아 고마워요 철없어 보여서 ㅜㅜ 
미안해요  빅마우스님 관심 감솨해요"
85689,빅마우스,2023-07-06T09:13:00,"그랴 고맙… 
너두 철 들자.  !"
85688,죽음의 느티나무,2023-07-06T09:12:00,실재보면 넌 ㅋㅋㅋ
85687,죽음의 느티나무,2023-07-06T09:12:00,알았지?
85686,죽음의 느티나무,2023-07-06T09:12:00,죽진마
85685,죽음의 느티나무,2023-07-06T09:12:00,힘들면 말하라고
85684,죽음의 느티나무,2023-07-06T09:12:00,난 맨날 유기견 유트버 기부한다
85682,하스돕돕,2023-07-06T09:11:00,좋은 하루 되시길~
85681,죽음의 느티나무,2023-07-06T09:11:00,ㅋ 귀여웃 짜식 힘들면 말해 누나는 맨날 기부만 한다니깐 헛소리 아냐 진짜야 세상에 이런 여자 보기 힘들지 힘들면 말해 대신 죽지마 알았지?
85675,빅마우스,2023-07-06T09:09:00,"그렇게 큰돈을. 가산 탕진 하는거 아녀 ?
사양할께. 난 업는사람. 등치는 스퇄 아니라서.  .."
85674,죽음의 느티나무,2023-07-06T09:09:00,이넘이 맨날 그렇게 똥싸
85673,하스돕돕,2023-07-06T09:09:00,내 전생 테스트 재밌을 듯 ~
85672,죽음의 느티나무,2023-07-06T09:09:00,다 안치으너진거 그냥 다 치우척 한적이 있어  고백합니다 미안해요 키우시는분들 아시죠?
85671,하스돕돕,2023-07-06T09:08:00,오늘도 잘 부탁해~🍀벌써 목요일
85670,죽음의 느티나무,2023-07-06T09:08:00,댕댕이 똥 나무에싸면 그것 다 안치워져 지금 솔직히 말할께
85669,죽음의 느티나무,2023-07-06T09:08:00,편안한 시대는 전생에도 글렀군요
85667,죽음의 느티나무,2023-07-06T09:07:00,난 나쁜짓을 해본적이 있다
85666,죽음의 느티나무,2023-07-06T09:07:00,머래?  삶이 힘들면 계좌보내 5만원은 입금 가능
85665,김루나,2023-07-06T09:04:00,다들 재밌게 해보세요
85664,빅마우스,2023-07-06T09:04:00,"너. 내편 아니구나. …    착각. * 워쩌 *
당황스럽네.     흠.   글닜네.  삭제도 못하고


헐.  !!!!!"
85663,김루나,2023-07-06T09:03:00,https://poomang.com/t/seizethelife1?from_detail=True
85662,김루나,2023-07-06T09:03:00,자 덕질거리 가져옴
85661,죽음의 느티나무,2023-07-06T09:02:00,담생엔 신혜선 남친이고파 💖
85660,죽음의 느티나무,2023-07-06T09:01:00,정말 감사해요
85659,죽음의 느티나무,2023-07-06T09:01:00,전 ㅈㄴ 이쁜 여자임 (현실부정 안함)
85658,죽음의 느티나무,2023-07-06T09:01:00,감사합니다 ㅠㅠ
85657,죽음의 느티나무,2023-07-06T09:00:00,고맙습니다 정말 💖
85656,아프란시,2023-07-06T08:59:00,할만큼 했음
85655,죽음의 느티나무,2023-07-06T08:59:00,아이쿠 아프란시님 싸랑해💖
85654,아프란시,2023-07-06T08:59:00,다시 리셋이니...전 그냥 다 차단후 드라마 얘기만 하겠습니다.
85653,죽음의 느티나무,2023-07-06T08:59:00,신혜선은 내사랑💖
85652,죽음의 느티나무,2023-07-06T08:59:00,내가 담생애 태어나면 키185  너의 남친이고파 신혜선 사랑해 지금 내남친키185
85651,애나안,2023-07-06T08:59:00,토닥토닥..💦 이생잘 보면서 위로 받고 힐링하세욤
85649,죽음의 느티나무,2023-07-06T08:58:00,연기 최고에요👍
85647,죽음의 느티나무,2023-07-06T08:58:00,난 신혜선님 싸랑해요❤️
85644,죽음의 느티나무,2023-07-06T08:57:00,사랑해요 신혜선 우윳빗깔 신혜선 💖💖💖💖💖
85642,빅마우스,2023-07-06T08:57:00,여기가.  …
85641,죽음의 느티나무,2023-07-06T08:57:00,신혜선 최고👍💖
85640,죽음의 느티나무,2023-07-06T08:57:00,드라마 얘기만 할께요 힝
85638,죽음의 느티나무,2023-07-06T08:56:00,지금 제가 와인 마셨고 아주 많이 울었고 저희 댕댕(유기견3)마리 있습니다 아주 이뿌게 보냈고 잘해준것 보다 못해준게 기억에 남아요 헛 소리 올려서 죄송한데 전 정말 미치도록 아파요 죄송해요 너무 너무 울어서 쌍꺼풀이 두줄 입니다 ㅜㅜ
85637,죽음의 느티나무,2023-07-06T08:49:00,죽음의 느티나무한테 관심 감상새요 ㅁㅊㅂㄷ 많네
85636,죽음의 느티나무,2023-07-06T08:47:00,개좋아
85635,죽음의 느티나무,2023-07-06T08:47:00,기분 좋아
85634,죽음의 느티나무,2023-07-06T08:47:00,ㅋㅋㅋㅋ
85633,죽음의 느티나무,2023-07-06T08:46:00,기부도 계속하고 좋은일 마니마니할께 항상 난 그대로야 알잖아 새벽에  일어나서 또 산책 시킨다 걱정하지마 난 항상 똑 같아 사랑해 울 이쁜 ㅠㅠ
85632,죽음의 느티나무,2023-07-06T08:45:00,인간보다 넌 최고였어❤️
85631,죽음의 느티나무,2023-07-06T08:43:00,울 이쁜  내사랑 내목숨보다 넌 최고였어👍💖
85630,죽음의 느티나무,2023-07-06T08:43:00,날 보고있지?  사랑해💖
85629,죽음의 느티나무,2023-07-06T08:42:00,난 13년 키운 댕댕이 보내고 이드라마가 위안 되니깟
85628,죽음의 느티나무,2023-07-06T08:41:00,그 어떤것도 너네끼리하삼
85627,죽음의 느티나무,2023-07-06T08:41:00,나한테 답글 보내지마세요난 내가 최고니깐
85626,죽음의 느티나무,2023-07-06T08:40:00,저번주 우리집 댕댕이 장례치뤄서 세상에는 많은 ㅁㅊㄴ 이 존재합니다
85625,죽음의 느티나무,2023-07-06T08:39:00,언제나 그런듯 하루쯤은 미쳐도 돼내가 죽을듯이 힘든 하루 타인은 피땀으로 돈 버니깐
85624,죽음의 느티나무,2023-07-06T08:37:00,내인생 전부라도 아깝지 않아 사랑해 우리 이쁜이들💖💖💖💖💖
85623,죽음의 느티나무,2023-07-06T08:37:00,ㄴㅓ만 너만 너만 사랑해❤️❤️❤️❤️❤️
85622,죽음의 느티나무,2023-07-06T08:36:00,사랑해💖
85621,맛없으면두번안먹음,2023-07-06T08:36:00,피부 후보정 어디서 하는지 몰라도 클로즈업샷에서 부자연스러움
85619,죽음의 느티나무,2023-07-06T08:36:00,미치도록 사랑하니깐 우린 불행해지지 않을꺼지?
85618,죽음의 느티나무,2023-07-06T08:35:00,사랑해💖
85617,죽음의 느티나무,2023-07-06T08:35:00,바다야 이번생도 잘 부탁해💖
85616,(🎀ᴗˬᴗ),2023-07-06T08:34:00,응 애쓴다 수고
85615,죽음의 느티나무,2023-07-06T08:31:00,그 유명한 내가 이쁜이다
85614,(🎀ᴗˬᴗ),2023-07-06T08:31:00,새계정도 정지묵자 ㅋㅋㅋㅋㅋ
85613,죽음의 느티나무,2023-07-06T08:30:00,신고에 의해 숨겨진 메시지입니다.
85612,죽음의 느티나무,2023-07-06T08:30:00,너도 아는구낭 내가 ㅈㄴ 이쁜거
85611,(🎀ᴗˬᴗ),2023-07-06T08:29:00,넌 다 들통나쓰 ㅋㅋㅋㅋㅋ
85610,죽음의 느티나무,2023-07-06T08:28:00,미친 드톡 초딩들 왕따놀인가?.다들 나이 쳐묵고 지네끼리 좋아요 막 눌러주는 ㅋ
85606,직장인,2023-07-06T08:08:00,"'""축 ""   정지   ㅋㅋㅋ"
85603,직장인,2023-07-06T08:04:00,스티커
85596,직장인,2023-07-06T08:03:00,모두 죤하루~~
85595,직장인,2023-07-06T08:03:00,드뎌 정지당하고 닉변했나 ㅋㅋ
85594,아프란시,2023-07-06T08:02:00,생각이 많아지는 아침입니다
85593,아프란시,2023-07-06T08:00:00,삭제된 메시지입니다.
85592,(🎀ᴗˬᴗ),2023-07-06T07:56:00,그런거 안세는게 속편해요
85591,아프란시,2023-07-06T07:55:00,대략 2일정도 평화로웠는데...
85590,아프란시,2023-07-06T07:51:00,에휴...
85589,아프란시,2023-07-06T07:50:00,아...진짜...
85588,(🎀ᴗˬᴗ),2023-07-06T07:49:00,아님 갸갸간겨?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
85587,(🎀ᴗˬᴗ),2023-07-06T07:48:00,나 너랑 대화한적 없음 니가 껴들어 시비 ㅋㅋㅋㅋ
85586,죽음의 느티나무,2023-07-06T07:47:00,신고에 의해 숨겨진 메시지입니다.
85585,(🎀ᴗˬᴗ),2023-07-06T07:47:00,ㅋㅋㅋㅋ
85584,(🎀ᴗˬᴗ),2023-07-06T07:47:00,진짜 모지리
85583,죽음의 느티나무,2023-07-06T07:47:00,시비거는거 잼나고 랜선에선 니가 최고다 싶지?  현실은 너 아니란거 알고있다 행복해라 어데서 할배할매같은것들 훈계질이야
85582,(🎀ᴗˬᴗ),2023-07-06T07:46:00,모지리 또왓네
85581,(🎀ᴗˬᴗ),2023-07-06T07:45:00,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
